# ----------------------------------------
# http://abels.co.uk
# Untitled exploration-CW Report Dashboard Data
# 20260101-20260604
# ----------------------------------------

Date,Active users,Engaged sessions per active user,Average engagement time per session,Sessions,Returning users,Total users,New users,Session key event rate
20260407,74,0.6216216216216216,61.65853658536585,82,11,75,68,0.06097560975609756
20260309,73,0.6164383561643836,74.52564102564102,78,8,75,66,0.02564102564102564
20260131,72,0.3611111111111111,16.68421052631579,76,4,75,65,0
20260311,72,0.6111111111111112,64.9753086419753,81,13,73,63,0.012345679012345678
20260318,72,0.5555555555555556,29.138297872340427,94,14,80,65,0.031914893617021274
20260117,71,0.4647887323943662,22.15068493150685,73,6,71,66,0.0273972602739726
20260201,71,0.4647887323943662,29.91025641025641,78,7,74,64,0.05128205128205128
20260330,71,0.5774647887323944,46.14772727272727,88,14,76,62,0.045454545454545456
20260103,70,0.4857142857142857,24.546666666666667,75,3,73,68,0.02666666666666667
20260124,70,0.5285714285714286,29.897435897435898,78,8,72,67,0.01282051282051282
20260207,70,0.6,59.03947368421053,76,10,70,65,0.02631578947368421
20260422,70,0.5714285714285714,55.5,82,10,75,65,0.04878048780487805
20260408,69,0.6666666666666666,54.5632183908046,87,16,73,60,0.034482758620689655
20260428,69,1.0869565217391304,31.39080459770115,87,17,70,58,0.022988505747126436
20260104,67,0.5373134328358209,31.905405405405407,74,1,70,66,0.013513513513513514
20260111,67,0.582089552238806,34.98701298701299,77,7,68,62,0.025974025974025976
20260306,67,0.7313432835820896,59.39080459770115,87,17,72,54,0.034482758620689655
20260118,65,0.5384615384615384,20.13888888888889,72,5,69,58,0
20260501,65,1.0307692307692307,44.40845070422535,71,12,66,55,0.04225352112676056
20260504,65,1.0615384615384615,25.930555555555557,72,6,66,63,0.027777777777777776
20260510,64,1.046875,25.565217391304348,69,7,65,61,0.014492753623188406
20260213,63,0.7142857142857143,37.8,70,12,64,53,0.02857142857142857
20260529,62,1.1129032258064515,35.58227848101266,79,12,65,56,0.06329113924050633
20260222,60,0.5,20.652173913043477,69,8,63,55,0.014492753623188406
20260517,59,1.0169491525423728,42.193548387096776,62,8,60,52,0.0967741935483871
20260530,59,1.0169491525423728,61.114754098360656,61,5,59,55,0.04918032786885246
20260406,56,0.5178571428571429,30.193548387096776,62,4,59,55,0.08064516129032258
20260416,56,0.625,38.92424242424242,66,8,61,51,0.045454545454545456
20260509,56,1,18.625,64,8,59,52,0.03125
20260523,55,1.0363636363636364,30.433333333333334,60,7,56,53,0.016666666666666666
20260426,54,0.5,25.137931034482758,58,6,57,50,0.034482758620689655
20260403,53,0.5094339622641509,50.92857142857143,56,4,56,49,0.08928571428571429
20260531,53,0.9245283018867925,21.666666666666668,57,8,54,47,0.05263157894736842
20260221,51,0.39215686274509803,20.454545454545453,55,4,53,49,0.01818181818181818
20260110,50,0.58,49.25925925925926,54,6,52,46,0.037037037037037035
20260502,50,1.02,18.18867924528302,53,4,51,49,0
20260418,47,0.48936170212765956,34.05555555555556,54,8,48,43,0.018518518518518517
20260503,47,1.0638297872340425,32.851851851851855,54,8,47,44,0.05555555555555555
20260524,47,1.0425531914893618,21.857142857142858,49,5,47,44,0.04081632653061224
20260226,46,0.7608695652173914,64.52542372881356,59,14,49,35,0.03389830508474576
20260329,42,0.4523809523809524,16.851063829787233,47,3,44,40,0.02127659574468085
