# ----------------------------------------
# Engagement overview
# Account: abels.co.uk
# Property: http://abels.co.uk
# ----------------------------------------
#  
# Start date: 20250101
# End date: 20251231
Nth week,Average engagement time per active user
Event name,Event count
page_view,165872
user_engagement,66109
session_start,59564
first_visit,48255
scroll,20846
Automated greeting,15050
gclid_pickup,8850
make_an_enquiry,3374
GA4 Excess Luggage Submit,2227
dropdown_change,2227
click,934
live_chat,933
call_back_form_submit,924
Chat,736
view_search_results,659
GA4 Contact Us Form Submission,608
freephone_phone_click,390
uk_phone_click,388
contact_form_submit,335
Post-chat survey filled in,202
file_download,159
footer_email_subscribe,95
business_service_form_submit,90
GA4 UK Phone Click,89
quick_quote_form_submit,82
quick_enquiry_view,74
GA4 London Phone Click,69
enquiries_email_click,39
GA4 International Phone Click,35
customer_centre_phone_click,28
london_phone_click,25
video_progress,25
phone_call,24
GA4 Customer Centre Phone Click,19
international_phone_click,18
video_start,14
Freephone Click,13
job_enquiry_email_click,7
video_complete,3
feedback_email_click,2

